id,airport,type,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
53,PHL,origin,39.87195278,-75.24114083,1805,,1,0
53,ATL,dest,33.64044444,-84.42694444,1805,,1,0
54,CLT,origin,35.21401111,-80.94312583,1525,,1,0
54,EWR,dest,40.69249722,-74.16866056,1525,,1,0
55,CLT,origin,35.21401111,-80.94312583,809,806,0,0
55,BNA,dest,36.12447667,-86.67818222,709,806,0,0
56,MCO,origin,28.42888889,-81.31602778,1219,,1,0
56,PHL,dest,39.87195278,-75.24114083,1219,,1,0
57,PHL,origin,39.87195278,-75.24114083,1544,,1,0
57,BTV,dest,44.47300361,-73.1503125,1544,,1,0
58,PIT,origin,40.49146583,-80.23287083,745,741,0,0
58,SYR,dest,43.11118694,-76.10631056,745,741,0,0
59,CLT,origin,35.21401111,-80.94312583,909,906,0,0
59,TYS,dest,35.81248722,-83.99285583,809,906,0,0
60,RDU,origin,35.87763889,-78.78747222,740,732,0,0
60,CLT,dest,35.21401111,-80.94312583,740,732,0,0
61,DFW,origin,32.89595056,-97.0372,545,639,0,1
61,PIT,dest,40.49146583,-80.23287083,645,639,0,1
62,CLT,origin,35.21401111,-80.94312583,2105,,1,0
62,CHS,dest,32.89864639,-80.04050583,2105,,1,0
63,ABE,origin,40.65236278,-75.44040167,825,820,0,0
63,CLT,dest,35.21401111,-80.94312583,825,820,0,0
64,DFW,origin,32.89595056,-97.0372,930,,1,0
64,PHL,dest,39.87195278,-75.24114083,1030,,1,0
65,PHL,origin,39.87195278,-75.24114083,1535,,1,0
65,MHT,dest,42.93451639,-71.43705583,1535,,1,0
66,ALB,origin,42.74811944,-73.80297861,935,,1,0
66,PIT,dest,40.49146583,-80.23287083,935,,1,0
67,PIT,origin,40.49146583,-80.23287083,1141,,1,0
67,RDU,dest,35.87763889,-78.78747222,1141,,1,0
68,CLT,origin,35.21401111,-80.94312583,1530,,1,0
68,PIT,dest,40.49146583,-80.23287083,1530,,1,0
69,RDU,origin,35.87763889,-78.78747222,1540,,1,0
69,PIT,dest,40.49146583,-80.23287083,1540,,1,0
70,MCO,origin,28.42888889,-81.31602778,1735,,1,0
70,PIT,dest,40.49146583,-80.23287083,1735,,1,0
71,GSO,origin,36.09774694,-79.9372975,625,624,0,0
71,CLT,dest,35.21401111,-80.94312583,625,624,0,0
72,PIT,origin,40.49146583,-80.23287083,1409,,1,0
72,DAY,dest,39.90237583,-84.219375,1409,,1,0
73,ATL,origin,33.64044444,-84.42694444,1150,,1,0
73,PIT,dest,40.49146583,-80.23287083,1150,,1,0
74,PIT,origin,40.49146583,-80.23287083,1415,,1,0
74,MDT,dest,40.19349528,-76.76340361,1415,,1,0
75,PIT,origin,40.49146583,-80.23287083,2243,,1,0
75,CLT,dest,35.21401111,-80.94312583,2243,,1,0
76,PHL,origin,39.87195278,-75.24114083,935,,1,0
76,PWM,dest,43.64616667,-70.30875,935,,1,0
77,ATL,origin,33.64044444,-84.42694444,1900,,1,0
77,CLT,dest,35.21401111,-80.94312583,1900,,1,0
78,CLT,origin,35.21401111,-80.94312583,2050,,1,0
78,GSO,dest,36.09774694,-79.9372975,2050,,1,0
