Year,Domestic,International
2000-Q1,-48257,-81090
2000-Q2,268331,330840
2000-Q3,-124854,-111143
2000-Q4,-105272,-86983
2001-Q1,-196074,-321398
2001-Q2,-156296,-293716
2001-Q3,-746158,-1179220
2001-Q4,-180248,-315875
2002-Q1,-307046,-495902
2002-Q2,-240534,-363252
2002-Q3,-630804,-911319
2002-Q4,-989668,-1555308
