id,airport,latitude,longitude,crs_dep_time,dep_time,cancelled,diverted
48,"LGA",40.77724306,-73.87260917,"1845","",1.00,0.00
48,"RIC",37.50516667,-77.31966667,"1845","",1.00,0.00
49,"CLT",35.21401111,-80.94312583,"1525","",1.00,0.00
49,"IND",39.71732917,-86.29438417,"1525","",1.00,0.00
50,"BDL",41.93887417,-72.68322833,"1540","",1.00,0.00
50,"PHL",39.87195278,-75.24114083,"1540","",1.00,0.00
51,"PHL",39.87195278,-75.24114083,"1800","",1.00,0.00
51,"TPA",27.97547222,-82.53325,"1800","",1.00,0.00
52,"FLL",26.07258333,-80.15275,"0800","0757",0.00,1.00
52,"PIT",40.49146583,-80.23287083,"0800","0757",0.00,1.00
53,"PIT",40.49146583,-80.23287083,"1130","",1.00,0.00
53,"ORD",41.979595,-87.90446417,"1130","",1.00,0.00
54,"BUF",42.94052472,-78.73216667,"1255","",1.00,0.00
54,"LGA",40.77724306,-73.87260917,"1255","",1.00,0.00
55,"LGA",40.77724306,-73.87260917,"1500","",1.00,0.00
55,"GSO",36.09774694,-79.9372975,"1500","",1.00,0.00
56,"DCA",38.85208333,-77.03772222,"1500","",1.00,0.00
56,"SYR",43.11118694,-76.10631056,"1500","",1.00,0.00
57,"MCO",28.42888889,-81.31602778,"1200","",1.00,0.00
57,"DCA",38.85208333,-77.03772222,"1200","",1.00,0.00
58,"PHL",39.87195278,-75.24114083,"1805","",1.00,0.00
58,"ATL",33.64044444,-84.42694444,"1805","",1.00,0.00
59,"CLT",35.21401111,-80.94312583,"1525","",1.00,0.00
59,"EWR",40.69249722,-74.16866056,"1525","",1.00,0.00
60,"CLT",35.21401111,-80.94312583,"0810","0806",0.00,0.00
60,"BNA",36.12447667,-86.67818222,"0810","0806",0.00,0.00
61,"MCO",28.42888889,-81.31602778,"1220","",1.00,0.00
61,"PHL",39.87195278,-75.24114083,"1220","",1.00,0.00
62,"PHL",39.87195278,-75.24114083,"1545","",1.00,0.00
62,"BTV",44.47300361,-73.1503125,"1545","",1.00,0.00
63,"CAK",40.91631194,-81.44246556,"0630","0629",0.00,0.00
63,"PIT",40.49146583,-80.23287083,"0630","0629",0.00,0.00
64,"PIT",40.49146583,-80.23287083,"0745","0741",0.00,0.00
64,"SYR",43.11118694,-76.10631056,"0745","0741",0.00,0.00
65,"CLT",35.21401111,-80.94312583,"0910","0906",0.00,0.00
65,"TYS",35.81248722,-83.99285583,"0910","0906",0.00,0.00
66,"RDU",35.87763889,-78.78747222,"0740","0732",0.00,0.00
66,"CLT",35.21401111,-80.94312583,"0740","0732",0.00,0.00
67,"DFW",32.89595056,-97.0372,"0645","0639",0.00,1.00
67,"PIT",40.49146583,-80.23287083,"0645","0639",0.00,1.00
68,"CLT",35.21401111,-80.94312583,"2105","",1.00,0.00
68,"CHS",32.89864639,-80.04050583,"2105","",1.00,0.00
69,"ABE",40.65236278,-75.44040167,"0825","0820",0.00,0.00
69,"CLT",35.21401111,-80.94312583,"0825","0820",0.00,0.00
70,"CLT",35.21401111,-80.94312583,"1045","",1.00,0.00
70,"ILM",34.27061111,-77.90255556,"1045","",1.00,0.00
71,"DFW",32.89595056,-97.0372,"1030","",1.00,0.00
71,"PHL",39.87195278,-75.24114083,"1030","",1.00,0.00
72,"PHL",39.87195278,-75.24114083,"1535","",1.00,0.00
